Date,Open,High,Low,Close,Volume
03/20/2023,2130.0,2130.0,2130.0,2130.0,2
10/11/2023,2045.6,2045.7,2045.6,2045.7,2
10/13/2023,2102.2,2102.2,2102.2,2102.2,1
10/18/2023,2125.0,2125.2,2125.0,2125.2,2
10/19/2023,2150.0,2150.2,2150.0,2150.2,2
10/25/2023,2152.0,2152.0,2152.0,2152.0,1
11/01/2023,2148.0,2148.0,2148.0,2148.0,1
11/06/2023,2154.1,2155.3,2154.1,2155.0,7
11/08/2023,2125.0,2125.0,2125.0,2125.0,1
11/10/2023,2110.0,2110.0,2110.0,2110.0,1
11/13/2023,2114.0,2114.0,2114.0,2114.0,5
12/04/2023,2250.0,2275.0,2200.0,2200.0,6
12/05/2023,2170.9,2173.8,2165.2,2173.8,9
12/06/2023,2184.5,2187.8,2171.6,2171.6,20
12/08/2023,2148.7,2148.7,2148.7,2148.7,2
12/12/2023,2132.1,2132.1,2132.1,2132.1,4
12/13/2023,2155.7,2155.7,2155.7,2155.7,4
12/15/2023,2166.6,2166.6,2166.6,2166.6,4
12/18/2023,2176.2,2176.6,2176.2,2176.6,4
