Date,Open,High,Low,Close,Volume
01/09/2023,2030.0,2030.0,2030.0,2030.0,2
01/11/2023,2044.9,2044.9,2044.9,2044.9,3
01/12/2023,2059.0,2059.0,2059.0,2059.0,3
01/13/2023,2085.0,2085.0,2085.0,2085.0,2
01/17/2023,2084.0,2084.0,2084.0,2084.0,1
01/19/2023,2096.0,2100.0,2096.0,2100.0,5
01/20/2023,2094.1,2094.1,2094.1,2094.1,2
01/23/2023,2092.0,2097.0,2092.0,2097.0,2
01/24/2023,2102.4,2102.4,2090.6,2099.0,3
01/25/2023,2110.0,2110.0,2110.0,2110.0,1
01/26/2023,2096.0,2096.0,2096.0,2096.0,1
01/30/2023,2095.0,2095.0,2094.0,2094.0,2
02/01/2023,2118.4,2118.4,2118.4,2118.4,1
02/02/2023,2119.0,2119.7,2119.0,2119.7,2
02/03/2023,2038.3,2038.3,2038.3,2038.3,1
02/06/2023,2037.7,2037.7,2037.7,2037.7,1
02/13/2023,2022.2,2022.2,2022.2,2022.2,2
02/16/2023,2000.4,2000.4,2000.0,2000.0,2
02/17/2023,1998.3,1998.3,1998.3,1998.3,1
02/24/2023,1998.0,1998.0,1998.0,1998.0,1
03/09/2023,1993.0,1993.0,1993.0,1993.0,1
03/10/2023,2025.0,2032.7,2025.0,2028.1,7
03/15/2023,2065.7,2065.7,2065.7,2065.7,1
03/17/2023,2084.9,2119.2,2084.9,2119.2,9
03/20/2023,2110.0,2139.6,2106.6,2115.4,40
03/21/2023,2119.6,2119.6,2110.2,2110.2,2
03/22/2023,2110.4,2110.4,2110.4,2110.4,1
03/23/2023,2121.1,2140.1,2121.1,2140.1,2
03/27/2023,2094.6,2094.6,2094.6,2094.6,1
03/28/2023,2117.9,2118.0,2117.9,2118.0,5
03/29/2023,2118.0,2122.7,2115.0,2122.7,4
03/30/2023,2112.0,2121.1,2112.0,2121.1,4
04/03/2023,2130.0,2140.6,2130.0,2140.6,3
04/04/2023,2165.0,2172.4,2165.0,2172.4,2
04/06/2023,2161.4,2161.4,2161.4,2161.4,1
04/11/2023,2158.3,2158.3,2158.3,2158.3,1
