Date,Open,High,Low,Close,Volume
01/31/2023,2050.0,2057.0,2050.0,2057.0,5
03/09/2023,1968.5,1968.9,1968.5,1968.9,10
03/10/2023,1961.7,1996.6,1961.7,1996.6,4
03/13/2023,2006.5,2006.5,2006.5,2006.5,5
03/14/2023,2021.0,2028.5,2021.0,2028.5,8
03/17/2023,2081.0,2081.0,2081.0,2081.0,1
03/20/2023,2110.0,2110.0,2077.0,2083.6,17
03/24/2023,2108.8,2108.8,2108.8,2108.8,1
03/30/2023,2102.2,2102.2,2102.2,2102.2,1
03/31/2023,2097.2,2097.2,2097.2,2097.2,1
04/03/2023,2101.7,2101.7,2101.7,2101.7,1
04/04/2023,2132.4,2132.4,2132.4,2132.4,1
04/05/2023,2140.5,2140.5,2136.3,2136.3,8
04/13/2023,2144.8,2161.5,2142.6,2161.5,5
04/14/2023,2160.0,2160.0,2126.0,2126.0,3
04/18/2023,2123.2,2123.2,2114.1,2114.1,5
04/19/2023,2089.8,2089.8,2088.9,2088.9,2
04/20/2023,2116.1,2116.1,2115.6,2115.6,22
04/24/2023,2100.3,2100.4,2099.6,2099.6,3
05/02/2023,2096.0,2096.0,2096.0,2096.0,1
05/03/2023,2130.0,2130.0,2128.8,2128.8,2
05/05/2023,2128.7,2128.8,2128.3,2128.4,41
05/08/2023,2138.9,2140.3,2133.3,2133.3,47
05/09/2023,2149.1,2150.2,2148.9,2150.2,44
05/10/2023,2143.1,2144.5,2143.0,2144.2,51
05/11/2023,2129.4,2129.8,2125.9,2125.9,56
05/12/2023,2124.9,2126.0,2124.8,2126.0,9
05/15/2023,2127.9,2128.2,2127.7,2128.1,25
05/16/2023,2123.6,2123.6,2096.3,2097.0,11
05/17/2023,2091.9,2091.9,2089.5,2089.9,17
05/18/2023,2081.4,2081.4,2081.4,2081.4,1
05/19/2023,2063.0,2086.3,2063.0,2086.3,13
05/22/2023,2082.7,2082.7,2081.8,2081.8,5
05/23/2023,2065.0,2081.0,2065.0,2079.6,12
05/24/2023,2083.1,2092.5,2083.1,2092.5,14
05/25/2023,2053.2,2053.2,2051.6,2052.1,11
05/26/2023,2054.6,2064.1,2054.6,2057.1,14
05/30/2023,2064.3,2069.0,2064.3,2067.5,57
05/31/2023,2073.3,2073.3,2071.5,2071.5,12
06/01/2023,2077.7,2093.1,2077.7,2087.1,27
06/02/2023,2083.8,2083.8,2061.8,2063.0,17
06/05/2023,2051.0,2071.1,2051.0,2068.0,39
06/07/2023,2051.0,2051.1,2050.8,2050.8,14
06/08/2023,2076.2,2077.7,2069.1,2069.6,49
06/09/2023,2073.2,2073.2,2069.8,2070.0,5
06/12/2023,2063.1,2063.3,2062.7,2062.7,9
06/13/2023,2052.5,2052.5,2052.3,2052.3,3
06/14/2023,2063.9,2063.9,2061.4,2061.7,9
06/15/2023,2042.8,2064.9,2037.5,2064.9,5
06/16/2023,2065.6,2065.6,2065.6,2065.6,1
06/20/2023,2039.9,2045.5,2039.9,2044.8,10
06/21/2023,2041.4,2041.4,2041.4,2041.4,1
06/22/2023,2035.8,2035.8,2020.0,2021.1,65
06/23/2023,2027.2,2027.2,2027.2,2027.2,1
06/26/2023,2031.2,2031.2,2029.5,2029.5,8
06/27/2023,2033.1,2033.1,2019.1,2019.2,13
06/28/2023,2016.1,2016.1,2016.1,2016.1,1
06/29/2023,2001.0,2015.3,1999.8,2015.3,47
06/30/2023,2015.4,2025.7,2015.4,2025.3,8
07/03/2023,2026.0,2026.0,2025.9,2025.9,7
07/05/2023,2023.3,2023.5,2023.2,2023.5,8
07/06/2023,2022.2,2024.2,2011.6,2011.7,14
07/07/2023,2013.4,2030.9,2013.4,2028.6,28
07/10/2023,2026.1,2029.0,2017.1,2027.7,53
07/11/2023,2030.2,2041.0,2028.4,2034.9,76
07/12/2023,2036.8,2060.5,2036.3,2060.5,55
07/13/2023,2060.1,2062.4,2055.8,2060.5,36
07/14/2023,2056.4,2062.0,2053.3,2061.1,59
07/17/2023,2056.0,2056.8,2053.6,2056.6,11
07/18/2023,2065.5,2085.0,2063.6,2078.1,82
07/19/2023,2076.9,2081.9,2073.4,2078.0,75
07/20/2023,2082.2,2082.2,2068.0,2068.4,13
07/21/2023,2072.5,2072.5,2059.2,2064.0,6
07/24/2023,2061.0,2061.0,2055.0,2055.0,8
07/25/2023,2060.6,2063.0,2053.1,2062.7,53
07/26/2023,2062.9,2073.3,2062.9,2073.3,38
