Date,Open,High,Low,Close,Volume
01/03/2023,1905.2,1919.0,1899.0,1909.3,19
01/04/2023,1915.8,1931.9,1915.8,1929.2,14
01/05/2023,1904.2,1904.2,1904.2,1904.2,2
01/06/2023,1913.8,1918.8,1913.8,1918.8,2
01/09/2023,1938.3,1948.3,1938.3,1940.5,5
01/10/2023,1943.4,1949.0,1943.0,1949.0,3
01/11/2023,1954.3,1954.3,1954.3,1954.3,2
01/12/2023,1957.2,1969.0,1957.2,1967.1,24
01/13/2023,1975.8,1992.6,1974.5,1990.4,37
01/16/2023,1987.2,1987.2,1987.2,1987.2,1
01/17/2023,1979.0,1979.0,1974.1,1974.1,2
01/18/2023,1967.8,1992.5,1965.7,1975.0,15
01/19/2023,1971.9,1997.7,1971.9,1997.7,17
01/20/2023,1999.0,2000.0,1993.6,1993.7,13
01/23/2023,1998.8,1998.8,1988.0,1988.0,3
01/24/2023,1999.8,1999.8,1999.8,1999.8,1
01/25/2023,1993.0,1994.7,1993.0,1994.7,6
01/26/2023,2016.6,2016.6,1992.7,1992.7,7
01/27/2023,1991.9,1996.4,1991.9,1996.4,17
01/30/2023,1997.8,1997.8,1989.5,1989.5,4
01/31/2023,1971.6,1994.7,1971.6,1994.7,8
02/01/2023,1996.5,2018.8,1988.8,2018.5,69
02/02/2023,2019.0,2025.0,1979.0,1979.0,20
02/03/2023,1982.2,1982.2,1928.4,1928.9,75
02/06/2023,1940.8,1940.8,1927.5,1927.5,8
02/07/2023,1937.8,1945.8,1929.0,1933.8,51
02/08/2023,1946.5,1946.6,1933.2,1939.0,34
02/09/2023,1953.2,1953.2,1922.8,1923.9,20
02/10/2023,1923.0,1933.8,1917.0,1926.0,36
02/13/2023,1916.4,1916.4,1913.6,1915.0,26
02/14/2023,1923.6,1932.8,1904.4,1908.0,33
02/15/2023,1908.0,1908.0,1891.6,1899.9,49
02/16/2023,1905.0,1906.8,1893.6,1905.2,19
02/17/2023,1893.8,1902.5,1880.6,1902.5,16
02/20/2023,1907.2,1907.2,1903.3,1903.3,7
02/21/2023,1903.2,1903.2,1894.9,1898.1,8
02/22/2023,1894.0,1894.0,1885.5,1885.5,5
02/23/2023,1878.0,1880.8,1877.6,1880.6,4
02/24/2023,1883.8,1883.8,1869.2,1872.6,20
02/27/2023,1865.4,1876.1,1864.8,1876.1,28
02/28/2023,1878.0,1888.8,1863.0,1888.8,16
03/01/2023,1883.5,1904.8,1883.5,1898.4,57
03/02/2023,1891.0,1895.4,1891.0,1895.3,12
03/03/2023,1899.6,1908.1,1898.7,1907.8,44
03/06/2023,1914.8,1916.2,1906.6,1909.0,12
03/07/2023,1902.5,1906.2,1872.0,1872.0,34
03/08/2023,1871.0,1881.7,1868.6,1872.6,44
03/09/2023,1870.5,1884.8,1870.5,1883.2,6
03/10/2023,1888.1,1925.7,1888.1,1925.6,47
03/13/2023,1937.4,1968.4,1929.2,1968.4,80
03/14/2023,1965.1,1965.6,1954.2,1958.3,52
03/15/2023,1955.0,1988.4,1942.0,1970.0,39
03/16/2023,1962.9,1976.2,1962.9,1973.2,7
03/17/2023,1975.1,2039.3,1975.1,2039.3,106
03/20/2023,2030.9,2060.0,2023.0,2031.0,23
03/21/2023,2036.5,2036.5,1990.0,1994.3,81
03/22/2023,1997.1,2027.1,1995.1,2027.1,50
03/23/2023,2030.6,2051.6,2022.5,2051.6,52
03/24/2023,2046.9,2048.5,2030.0,2032.2,29
03/27/2023,2026.2,2030.0,1997.9,2002.4,36
03/28/2023,2011.8,2027.2,2011.8,2027.2,16
03/29/2023,2021.2,2021.2,2015.6,2016.3,3
03/30/2023,2010.0,2035.3,2007.0,2034.5,38
03/31/2023,2032.0,2040.8,2029.5,2033.8,41
04/03/2023,2012.8,2043.0,2003.5,2038.1,122
04/04/2023,2037.0,2075.8,2031.0,2075.7,43
04/05/2023,2075.2,2081.6,2062.4,2072.8,44
04/06/2023,2066.0,2070.6,2054.0,2060.6,32
04/10/2023,2050.0,2051.5,2033.6,2042.5,35
04/11/2023,2043.3,2057.4,2043.2,2056.0,46
04/12/2023,2056.3,2075.8,2053.6,2060.2,153
04/13/2023,2065.5,2099.0,2065.5,2090.7,156
04/14/2023,2091.0,2094.3,2043.9,2057.0,72
04/17/2023,2053.7,2061.0,2033.6,2045.0,59
04/18/2023,2049.6,2060.8,2042.0,2056.4,31
04/19/2023,2055.4,2056.0,2018.7,2041.9,101
04/20/2023,2040.5,2060.7,2040.5,2053.1,44
04/21/2023,2049.6,2049.6,2022.7,2031.2,128
04/24/2023,2029.5,2037.6,2022.5,2035.9,43
04/25/2023,2038.8,2048.8,2026.7,2044.8,150
04/26/2023,2048.7,2055.0,2033.4,2035.5,40
04/27/2023,2038.0,2049.0,2019.6,2035.1,104
04/28/2023,2035.1,2041.0,2025.6,2039.9,99
05/01/2023,2037.8,2051.5,2025.0,2028.7,65
05/02/2023,2028.8,2065.7,2028.6,2064.7,152
05/03/2023,2063.5,2084.9,2059.1,2084.9,130
05/04/2023,2090.0,2112.0,2079.1,2096.3,149
05/05/2023,2095.5,2095.5,2046.0,2064.0,297
05/08/2023,2064.1,2075.5,2064.1,2067.0,68
05/09/2023,2065.8,2082.9,2065.8,2080.6,167
05/10/2023,2080.6,2094.4,2067.9,2076.6,88
05/11/2023,2080.9,2085.8,2055.8,2058.5,295
05/12/2023,2058.9,2064.9,2044.8,2054.5,93
05/15/2023,2050.8,2066.0,2050.8,2058.5,90
05/16/2023,2058.4,2060.4,2028.9,2031.1,237
05/17/2023,2031.3,2034.5,2016.7,2024.3,223
05/18/2023,2023.5,2025.9,1992.3,1997.0,596
05/19/2023,1997.7,2024.8,1996.0,2019.0,282
05/22/2023,2020.4,2021.3,2008.8,2012.3,84
05/23/2023,2009.5,2015.4,1994.2,2014.5,167
05/24/2023,2014.7,2025.0,1996.0,1997.5,198
05/25/2023,1997.3,2003.0,1977.0,1979.6,272
05/26/2023,1979.5,1994.0,1974.6,1984.9,308
05/29/2023,1980.8,1987.3,1977.7,1980.9,247
05/30/2023,1981.4,2000.8,1970.0,1996.9,473
05/31/2023,1996.4,2011.9,1991.4,2002.0,428
06/01/2023,2000.3,2019.5,1990.0,2014.8,511
06/02/2023,2013.6,2020.0,1983.6,1983.8,794
06/05/2023,1982.4,1999.5,1973.9,1997.0,407
06/06/2023,1997.3,2002.2,1989.9,1999.0,283
06/07/2023,1999.5,2005.3,1975.0,1975.0,658
06/08/2023,1977.2,2005.0,1976.5,1999.9,700
06/09/2023,2000.2,2006.4,1990.6,1995.0,323
06/12/2023,1993.8,2000.4,1982.9,1992.1,336
06/13/2023,1991.7,2005.1,1972.8,1976.2,708
06/14/2023,1975.7,1993.0,1972.3,1975.2,606
06/15/2023,1975.7,1992.0,1956.0,1990.4,892
06/16/2023,1989.2,1999.5,1985.0,1990.2,420
06/19/2023,1989.4,1990.8,1979.5,1980.7,148
06/20/2023,1983.5,1988.0,1960.4,1966.8,633
06/21/2023,1967.5,1969.6,1949.6,1963.8,579
06/22/2023,1963.1,1963.4,1942.3,1942.8,657
06/23/2023,1942.8,1967.1,1939.1,1950.0,745
06/26/2023,1952.8,1962.0,1950.6,1951.9,361
06/27/2023,1951.8,1959.0,1939.6,1942.0,733
06/28/2023,1943.1,1945.1,1930.8,1935.2,632
06/29/2023,1935.5,1940.0,1919.6,1935.6,676
06/30/2023,1935.6,1949.7,1927.8,1945.3,619
07/03/2023,1945.4,1958.8,1937.0,1948.1,471
07/04/2023,1948.0,1956.9,1947.9,1952.6,176
07/05/2023,1952.2,1961.5,1942.0,1942.3,878
07/06/2023,1943.0,1953.0,1927.6,1935.7,948
07/07/2023,1936.7,1960.0,1934.7,1950.0,822
07/10/2023,1949.4,1951.5,1937.2,1950.0,571
07/11/2023,1949.8,1963.5,1949.8,1956.6,708
07/12/2023,1957.3,1984.0,1957.3,1982.1,1189
07/13/2023,1981.1,1987.2,1976.2,1984.1,727
07/14/2023,1984.4,1986.7,1974.5,1978.3,784
07/17/2023,1977.2,1982.5,1968.5,1977.7,1031
07/18/2023,1977.7,2006.8,1977.7,2001.6,2518
07/19/2023,2001.5,2003.4,1992.6,1999.8,1300
07/20/2023,1998.7,2008.5,1987.1,1990.9,2123
07/21/2023,1991.9,1995.0,1978.5,1982.7,1439
07/24/2023,1983.2,1988.7,1974.7,1975.8,1946
07/25/2023,1976.1,1986.2,1971.1,1985.8,2339
07/26/2023,1985.9,1999.3,1982.8,1992.9,4016
07/27/2023,1991.8,2002.0,1961.4,1963.8,7529
07/28/2023,1965.9,1982.0,1964.5,1978.3,4797
07/31/2023,1978.0,1991.0,1967.2,1984.0,4094
08/01/2023,1985.1,1985.1,1959.0,1961.9,4651
08/02/2023,1967.8,1972.4,1949.6,1951.5,4847
08/03/2023,1951.4,1955.0,1945.0,1949.9,4221
08/04/2023,1950.2,1964.6,1936.0,1958.1,3990
08/07/2023,1958.6,1962.0,1946.9,1952.2,2623
08/08/2023,1951.7,1953.1,1937.3,1940.0,4375
08/09/2023,1939.7,1946.7,1928.4,1929.1,3576
08/10/2023,1930.2,1944.4,1925.8,1925.9,4727
08/11/2023,1925.9,1934.4,1924.0,1927.0,3431
08/14/2023,1926.8,1929.2,1915.8,1920.2,3261
08/15/2023,1920.0,1925.2,1909.0,1914.5,2585
08/16/2023,1914.5,1919.3,1903.7,1904.0,3370
08/17/2023,1904.5,1914.9,1895.9,1900.0,3650
08/18/2023,1900.4,1907.4,1897.7,1900.3,3007
08/21/2023,1900.1,1909.5,1895.3,1906.0,3002
08/22/2023,1905.9,1915.2,1899.7,1908.4,2627
08/23/2023,1909.1,1931.3,1909.1,1926.9,4841
08/24/2023,1927.5,1932.9,1920.9,1926.1,3158
08/25/2023,1926.2,1931.7,1912.7,1924.2,3684
08/28/2023,1929.2,1935.1,1921.5,1929.2,4326
08/29/2023,1929.7,1947.2,1923.1,1946.8,4701
08/30/2023,1947.8,1958.0,1943.8,1952.0,3130
08/31/2023,1951.8,1955.6,1946.6,1947.8,2084
09/01/2023,1947.9,1961.1,1942.3,1947.6,3605
09/04/2023,1947.9,1954.1,1944.3,1945.9,1172
09/05/2023,1945.6,1946.3,1932.4,1933.2,3501
09/06/2023,1933.4,1936.1,1921.6,1923.2,3096
09/07/2023,1923.2,1929.0,1922.0,1925.6,1973
09/08/2023,1925.7,1935.5,1922.8,1924.7,3243
09/11/2023,1925.6,1936.5,1921.8,1927.4,1996
09/12/2023,1927.4,1929.3,1912.0,1918.3,3887
09/13/2023,1917.8,1920.1,1909.6,1912.7,2223
09/14/2023,1912.7,1916.0,1903.8,1914.1,2990
09/15/2023,1914.1,1934.0,1913.3,1927.5,3961
09/18/2023,1927.7,1937.3,1925.8,1936.7,1856
09/19/2023,1936.7,1940.3,1932.5,1934.1,1811
09/20/2023,1934.7,1950.2,1930.4,1933.0,3387
09/21/2023,1932.8,1933.6,1915.0,1921.7,3834
09/22/2023,1921.8,1930.5,1921.5,1926.6,1907
09/25/2023,1926.4,1927.9,1915.5,1916.8,2035
09/26/2023,1916.7,1917.1,1899.0,1900.1,4841
09/27/2023,1900.3,1902.9,1872.1,1875.8,4299
09/28/2023,1875.5,1878.2,1856.7,1863.4,2528
09/29/2023,1864.3,1872.3,1846.0,1847.1,348
10/02/2023,1844.1,1845.9,1826.7,1826.8,253
10/03/2023,1825.0,1830.9,1816.8,1823.0,31
10/04/2023,1821.8,1828.2,1816.4,1817.2,287
10/05/2023,1826.3,1826.3,1815.6,1816.5,263
10/06/2023,1819.0,1831.8,1809.4,1831.8,356
10/09/2023,1842.5,1861.5,1842.5,1861.5,148
10/10/2023,1857.0,1861.4,1852.8,1859.6,51
10/11/2023,1869.5,1874.6,1869.1,1872.9,19
10/12/2023,1874.7,1881.2,1867.0,1867.0,38
10/13/2023,1877.5,1930.1,1877.5,1928.5,27
10/16/2023,1910.4,1917.0,1910.3,1917.0,36
10/17/2023,1914.3,1925.8,1914.3,1925.8,17
10/18/2023,1935.0,1957.9,1935.0,1948.6,7
10/19/2023,1950.1,1977.7,1945.7,1973.9,88
10/20/2023,1981.1,1988.6,1980.4,1982.2,26
10/23/2023,1976.2,1978.9,1972.9,1972.9,11
10/24/2023,1970.3,1974.6,1970.3,1973.3,8
10/25/2023,1971.2,1985.3,1971.2,1978.4,50
10/26/2023,1988.2,1988.2,1980.4,1980.4,9
