,GCH23,GCJ23,GCK23,GCM23,GCN23,GCQ23,GCU23,GCV23,GCX23,GCZ23
2023-01-03,0.0,9.0,,24.299999999999955,,40.700000000000045,,56.799999999999955,,70.79999999999995
2023-01-04,0.0,11.0,,28.200000000000045,,42.59999999999991,,63.5,,72.79999999999995
2023-01-05,0.0,7.599999999999909,,23.700000000000045,,42.700000000000045,,57.700000000000045,,73.79999999999995
2023-01-06,0.0,8.400000000000091,,24.40000000000009,,42.200000000000045,,40.299999999999955,,73.59999999999991
2023-01-09,0.0,9.0,,25.399999999999864,,41.399999999999864,,56.799999999999955,,74.0
2023-01-10,0.0,8.0,,24.59999999999991,,40.69999999999982,,59.09999999999991,,73.69999999999982
2023-01-11,0.0,8.299999999999955,,26.299999999999955,,42.5,,66.39999999999986,,76.19999999999982
2023-01-12,0.0,9.299999999999955,,26.09999999999991,,41.399999999999864,,59.399999999999864,,76.5
2023-01-13,0.0,8.899999999999864,,25.299999999999955,,41.59999999999991,,58.700000000000045,,76.5
2023-01-16,0.0,9.599999999999909,,25.799999999999955,,45.0,,62.200000000000045,,76.40000000000009
2023-01-17,0.0,9.200000000000045,,26.299999999999955,,44.299999999999955,,55.399999999999864,,77.20000000000005
2023-01-18,0.0,9.200000000000045,,26.299999999999955,,41.799999999999955,,61.0,,75.40000000000009
2023-01-19,0.0,9.5,,25.90000000000009,,43.59999999999991,,56.700000000000045,,74.70000000000005
2023-01-20,0.0,8.400000000000091,,25.600000000000136,,42.100000000000136,,57.600000000000136,,74.60000000000014
2023-01-23,0.0,9.0,,25.899999999999864,,43.399999999999864,,48.09999999999991,,75.59999999999991
2023-01-24,0.0,9.899999999999864,,26.899999999999864,,43.700000000000045,,54.09999999999991,,77.29999999999995
2023-01-25,0.0,9.0,,25.700000000000045,,42.90000000000009,,39.600000000000136,,77.30000000000018
2023-01-26,0.0,9.100000000000136,,25.90000000000009,,43.700000000000045,,55.40000000000009,,76.40000000000009
2023-01-27,0.0,8.600000000000136,,26.0,,44.299999999999955,,61.100000000000136,,76.40000000000009
2023-01-30,0.0,9.200000000000045,,25.700000000000045,,41.5,,59.700000000000045,,74.60000000000014
2023-01-31,0.0,8.700000000000045,,25.5,,42.40000000000009,,59.600000000000136,,75.60000000000014
2023-02-01,0.0,8.799999999999955,,25.5,,42.90000000000009,,60.5,,78.0
2023-02-02,0.0,8.599999999999909,,25.40000000000009,,43.59999999999991,,60.5,,76.09999999999991
2023-02-03,0.0,6.7000000000000455,,23.299999999999955,,41.299999999999955,,57.90000000000009,,75.09999999999991
2023-02-06,0.0,7.900000000000091,,24.799999999999955,,41.299999999999955,,55.200000000000045,,75.0
2023-02-07,0.0,12.0,,28.600000000000136,,43.90000000000009,,60.700000000000045,,76.70000000000005
2023-02-08,0.0,8.299999999999955,,25.5,,43.0,,59.09999999999991,,75.89999999999986
2023-02-09,0.0,9.400000000000091,,25.40000000000009,,43.40000000000009,,59.90000000000009,,77.20000000000005
2023-02-10,0.0,9.300000000000182,,25.40000000000009,,41.90000000000009,,58.90000000000009,,73.70000000000005
2023-02-13,0.0,8.599999999999909,,25.200000000000045,,43.0,,59.299999999999955,,77.20000000000005
2023-02-14,0.0,7.899999999999864,,25.0,,43.19999999999982,,51.09999999999991,,78.59999999999991
2023-02-15,0.0,7.5,,25.300000000000182,,43.700000000000045,,60.80000000000018,,79.0
2023-02-16,0.0,7.399999999999864,,24.09999999999991,,43.59999999999991,,67.29999999999995,,82.69999999999982
2023-02-17,0.0,8.099999999999909,,24.799999999999955,,42.899999999999864,,59.299999999999955,,77.59999999999991
2023-02-20,0.0,8.700000000000045,,25.300000000000182,,47.90000000000009,,61.700000000000045,,82.80000000000018
2023-02-21,0.0,8.799999999999955,,25.5,,43.200000000000045,,62.899999999999864,,77.79999999999995
2023-02-22,0.0,9.100000000000136,,25.600000000000136,,42.90000000000009,,60.40000000000009,,78.70000000000005
2023-02-23,0.0,7.699999999999818,,24.59999999999991,,42.299999999999955,,58.69999999999982,,77.89999999999986
2023-02-24,0.0,7.7999999999999545,,24.200000000000045,,42.200000000000045,,62.399999999999864,,77.59999999999991
2023-02-27,0.0,8.700000000000045,,25.299999999999955,,43.09999999999991,,60.59999999999991,,78.59999999999991
2023-02-28,0.0,7.099999999999909,18.59999999999991,23.799999999999955,,42.09999999999991,,62.09999999999991,,78.0
2023-03-01,0.0,3.599999999999909,12.900000000000091,20.0,,39.09999999999991,,58.40000000000009,,75.09999999999991
2023-03-02,0.0,5.7999999999999545,16.40000000000009,22.700000000000045,,41.299999999999955,,59.0,,77.60000000000014
2023-03-03,0.0,8.799999999999955,15.5,25.59999999999991,,42.5,,53.799999999999955,,79.20000000000005
2023-03-06,0.0,8.200000000000045,16.09999999999991,25.299999999999955,,43.299999999999955,,64.79999999999995,,78.29999999999995
2023-03-07,0.0,-8.0,4.100000000000136,9.0,,28.40000000000009,,46.40000000000009,,63.40000000000009
2023-03-08,0.0,6.599999999999909,15.200000000000045,23.40000000000009,,42.59999999999991,,61.09999999999991,,81.20000000000005
2023-03-09,0.0,7.0,15.099999999999909,23.799999999999955,,43.0,,55.200000000000045,,78.79999999999995
2023-03-10,0.0,4.2000000000000455,11.700000000000045,20.299999999999955,,38.09999999999991,,57.09999999999991,,75.09999999999991
